"Sarampo: casos confirmados por município de residência, estado de São Paulo, 1997.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
County,cases,rate ,death,Letalidade,,,,county,,population
PAULÍNIA,60,135.04,,0.00,,,,PAULINIA,12,44431
PEDRA BELA,1,19.45,,0.00,,,,PEDRA BELA,12,5142
PEDREGULHO,2,13.52,,0.00,,,,PEDREGULHO,13,14794
PEDREIRA,2,6.27,,0.00,,,,PEDREIRA,20,31890
PEDRO DE TOLEDO,1,13.00,,0.00,,,,PEDRO DE TOLEDO,17,7693
PENÁPOLIS,4,7.78,,0.00,,,,PENAPOLIS,06,51428
PEREIRA BARRETO,3,11.83,,0.00,,,,PEREIRA BARRETO,06,25359
PEREIRAS,1,19.01,,0.00,,,,PEREIRAS,11,5261
PIEDADE,2,4.85,,0.00,,,,PIEDADE,23,41232
PINDAMONHANGABA,24,21.06,,0.00,,,,PINDAMONHANGABA,24,113937
PINDORAMA,2,15.25,,0.00,,,,PINDORAMA,22,13114
PINHALZINHO,10,99.14,,0.00,,,,PINHALZINHO,12,10087
PIRACAIA,2,9.88,,0.00,,,,PIRACAIA,12,20246
PIRACICABA,72,23.77,2,2.78,,,,PIRACICABA,15,302886
PIRAPORA DO BOM JESUS,2,19.05,,0.00,,,,PIRAPORA DO BOM JES,05,10499
PIRASSUNUNGA,10,15.94,,0.00,,,,PIRASSUNUNGA,15,62717
PITANGUEIRAS,13,44.01,,0.00,,,,PITANGUEIRAS,18,29537
POÁ,66,77.85,,0.00,,,,POA,03,84777
PONTAL,19,70.59,,0.00,,,,PONTAL,18,26916
PORTO FELIZ,11,25.74,,0.00,,,,PORTO FELIZ,23,42727
PORTO FERREIRA,1,2.28,,0.00,,,,PORTO FERREIRA,07,43893
POTIM,1,8.02,,0.00,,,,POTIM,24,12463
PRADÓPOLIS,8,67.49,,0.00,,,,PRADOPOLIS,18,11854
PRAIA GRANDE,9,5.98,,0.00,,,,PRAIA GRANDE,19,150388
PRESIDENTE ALVES,2,49.03,,0.00,,,,PRESIDENTE ALVES,10,4079
PRESIDENTE EPITÁCIO,4,10.90,,0.00,,,,PRESIDENTE EPITACIO,16,36699
PRESIDENTE PRUDENTE,36,20.30,,0.00,,,,PRESIDENTE PRUDENTE,16,177367
PRESIDENTE VENCESLAU,21,58.29,,0.00,,,,PRESIDENTE VENCESLA,16,36024
PROMISSÃO,5,16.78,,0.00,,,,PROMISSAO,10,29805
RANCHARIA,1,3.54,,0.00,,,,RANCHARIA,16,28282
REGENTE FEIJÓ,2,12.29,,0.00,,,,REGENTE FEIJO,16,16276
REGISTRO,2,4.07,,0.00,,,,REGISTRO,17,49200
RIBEIRAO DOS ÍNDIOS,2,91.49,,0.00,,,,Ribeirao dos indios,,2186
RIBEIRÃO PIRES,44,45.11,,0.00,,,,RIBEIRAO PIRES,02,97550
RIBEIRÃO PRETO,212,46.47,,0.00,,,,RIBEIRAO PRETO,18,456252
RIO CLARO,15,9.78,,0.00,,,,RIO CLARO,15,153389
RIO GRANDE DA SERRA,30,86.37,,0.00,,,,RIO GRANDE DA SERRA,02,34736
SABINO,2,42.15,,0.00,,,,SABINO,10,4745
SALES DE OLIVEIRA,1,12.18,,0.00,,,,SALES DE OLIVEIRA,13,8211
SALESÓPOLIS,2,15.06,,0.00,,,,SALESOPOLIS,03,13276
SALTO,25,28.76,,0.00,,,,SALTO,23,86928
SANTA ALBERTINA,2,35.89,,0.00,,,,SANTA ALBERTINA,22,5572
SANTA BÁRBARA D'OESTE,18,11.18,,0.00,,,,SANTA BARBARA D'OES,12,161060
SANTA CLARA D'OESTE,2,84.96,,0.00,,,,SANTA CLARA D'OESTE,22,2354
SANTA CRUZ DAS PALMEIRAS,84,350.79,,0.00,,,,SANTA CRUZ DAS PALM,20,23946
SANTA CRUZ RIO PARDO,5,13.14,,0.00,,,,SANTA CRUZ RIO PARD,08,38051
SANTA GERTRUDES,12,88.20,,0.00,,,,SANTA GERTRUDES,15,13605
SANTA ISABEL,7,16.92,,0.00,,,,SANTA ISABEL,03,41367
SANTA ROSA DE VITERBO,11,54.44,,0.00,,,,SANTA ROSA DO VITER,18,20207
SANTANA DO PARNAÍBA,73,127.40,,0.00,,,,SANTANA DO PARNAIBA,05,57299
SANTO ANASTÁCIO,2,9.57,,0.00,,,,SANTO ANASTACIO,16,20905
SANTO ANDRÉ,455,72.73,,0.00,,,,SANTO ANDRE,02,625564
SANTO ANTONIO DA ALEGRIA,3,55.03,,0.00,,,,SANTO ANTONIO DA AL,18,5452
SANTO ANTONIO DA POSSE,1,6.71,,0.00,,,,SANTO ANTONIO DA PO,20,14897
SANTO ANTONIO DO PINHAL,6,103.38,,0.00,,,,SANTO ANTONIO DO PI,24,5804
SANTOS,22,5.34,,0.00,,,,SANTOS,19,412243
SÃO BERNARDO DO CAMPO,820,124.17,,0.00,,,,SAO BERNARDO DO CAM,02,660396
SÃO CAETANO DO SUL,36,25.75,,0.00,,,,SAO CAETANO DO SUL,02,139825
SÃO CARLOS,4,2.28,,0.00,,,,SAO CARLOS,07,175517
SÃO JOAO DA BOA VISTA,13,17.63,,0.00,,,,SAO JOAO DA BOA VIS,20,73735
